City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Bengkulu,ID,77.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2,San Carlos De Bariloche,AR,54.91,clear sky,-41.1456,-71.3082,Hotel Patagonia
7,Bredasdorp,ZA,59.29,moderate rain,-34.5322,20.0403,Bredasdorp Country Manor
8,Rikitea,PF,76.17,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Kita,ML,71.67,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
12,Mataura,NZ,51.48,light rain,-46.1927,168.8643,Ellie's Villa
18,Maldonado,UY,63.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
19,Batemans Bay,AU,64.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
20,Ribeira Grande,PT,63.77,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
21,Rio Claro,BR,63.81,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
22,Kaitangata,NZ,50.36,light rain,-46.2817,169.8464,Kaitangata Motor Camp
24,Sinnamary,GF,76.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
26,Whitianga,NZ,68.77,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
27,Nakhon Phanom,TH,70.32,few clouds,17.3333,104.4167,ป่ายางรีสอร์ท
32,Bilma,NE,60.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
35,Bluff,NZ,51.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
39,Tenancingo,MX,55.53,clear sky,19.1472,-98.1806,Guest House Ruben
40,Port Macquarie,AU,69.76,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
41,Lynn Haven,US,59.05,few clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
42,Saint-Pierre,RE,79.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
46,Hermanus,ZA,64.9,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Vaini,TO,79.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
50,Bauta,CU,65.98,few clouds,22.9828,-82.5464,El Refugio
51,Airai,TL,74.88,overcast clouds,-8.9266,125.4092,Juvinal Martin
52,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
54,Cidreira,BR,70.09,overcast clouds,-30.1811,-50.2056,Hotel Castelo
55,Byron Bay,AU,76.95,broken clouds,-28.65,153.6167,Backpackers Inn
56,Bambanglipuro,ID,75.6,overcast clouds,-7.95,110.2833,Puri Brata
57,Dicabisagan,PH,72.88,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
59,Dubbo,AU,77.13,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
62,Mollendo,PE,67.6,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
64,Fortuna,US,50.67,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
65,Saint George,US,54.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Port Alfred,ZA,67.93,light rain,-33.5906,26.891,The Halyards Hotel
71,San Patricio,US,73.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
75,Esperance,AU,73.08,clear sky,-33.8667,121.9,Hospitality Esperance
76,Obera,AR,69.17,overcast clouds,-27.4871,-55.1199,CABAÑAS DORALIA
77,Port Elizabeth,ZA,63.1,light rain,-33.918,25.5701,39 On Nile Guest House
80,Kruisfontein,ZA,60.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
81,New Norfolk,AU,72.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
82,Aswan,EG,63.84,clear sky,24.0934,32.907,Nuba Nile
83,Copiapo,CL,55.09,broken clouds,-27.3667,-70.3333,San Francisco de La Selva
85,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Guerrero Negro,MX,62.15,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
88,Tomatlan,MX,72.14,broken clouds,19.9333,-105.25,El Salvial
91,Barra Do Corda,BR,73.29,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
92,Pesaro,IT,56.21,broken clouds,43.9036,12.8903,Savoy
95,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Shenjiamen,CN,57.97,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
97,Mar Del Plata,AR,61.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
98,Goma,CD,62.65,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
109,Hobart,AU,73.02,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
112,Ranong,TH,78.42,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
113,Saint-Joseph,RE,78.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
114,Camacupa,AO,61.7,overcast clouds,-12.0167,17.4833,seviremde seni
116,Ancud,CL,54.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
119,Camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
121,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
123,Qui Nhon,VN,71.38,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
124,Adeje,ES,66.56,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
125,Tolaga Bay,NZ,73.67,broken clouds,-38.3667,178.3,Tolaga Bay Motel
126,Vila Franca Do Campo,PT,61.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
128,Tarandacuao,MX,53.78,broken clouds,20.0,-100.5333,Hotel Colosio
129,Tahta,EG,62.02,broken clouds,26.7693,31.5021,مصطفي عساف
130,Ponta Do Sol,PT,65.03,overcast clouds,32.6667,-17.1,Hotel do Campo
131,Vredendal,ZA,62.24,light rain,-31.6683,18.5012,Tharrakamma Guest House
132,Grandola,PT,53.35,few clouds,38.1772,-8.5668,Hotel Jorge Grand
