City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,clear sky,36.99,87,1,3.0,US,2021-12-05 03:04:49
1,Bengkulu,-3.8004,102.2655,overcast clouds,77.85,84,100,6.82,ID,2021-12-05 03:06:09
2,San Carlos De Bariloche,-41.1456,-71.3082,clear sky,54.91,57,0,3.62,AR,2021-12-05 03:06:10
3,Sari,36.5633,53.0601,clear sky,46.58,47,0,4.23,IR,2021-12-05 03:06:10
4,Biscarrosse,44.3945,-1.1672,broken clouds,48.15,81,75,14.97,FR,2021-12-05 03:06:10
5,Osypenko,46.9136,36.8253,overcast clouds,35.83,92,100,13.4,UA,2021-12-05 03:06:10
6,Nikolskoye,59.7035,30.7861,overcast clouds,10.02,93,91,6.22,RU,2021-12-05 03:06:11
7,Bredasdorp,-34.5322,20.0403,moderate rain,59.29,95,100,17.83,ZA,2021-12-05 03:06:11
8,Rikitea,-23.1203,-134.9692,overcast clouds,76.17,72,89,8.79,PF,2021-12-05 03:06:12
9,Khatanga,71.9667,102.5,overcast clouds,-23.17,96,100,11.7,RU,2021-12-05 03:06:12
10,Kita,13.0349,-9.4895,scattered clouds,71.67,21,48,4.38,ML,2021-12-05 03:06:12
11,Punta Arenas,-53.15,-70.9167,clear sky,46.11,65,1,11.7,CL,2021-12-05 03:02:24
12,Mataura,-46.1927,168.8643,light rain,51.48,99,100,4.61,NZ,2021-12-05 03:06:13
13,Albany,42.6001,-73.9662,scattered clouds,37.74,77,39,7.9,US,2021-12-05 03:06:13
14,Upernavik,72.7868,-56.1549,overcast clouds,21.67,73,100,6.85,GL,2021-12-05 03:06:14
15,Svetlaya,46.5389,138.3297,scattered clouds,22.82,61,27,6.78,RU,2021-12-05 03:06:14
16,Provideniya,64.3833,-173.3,snow,26.73,97,100,19.01,RU,2021-12-05 03:06:14
17,Cherskiy,68.75,161.3,broken clouds,-38.83,100,74,2.26,RU,2021-12-05 03:06:14
18,Maldonado,-34.6667,-54.9167,overcast clouds,63.79,96,86,5.1,UY,2021-12-05 03:06:15
19,Batemans Bay,-35.7167,150.1833,overcast clouds,64.2,57,100,7.25,AU,2021-12-05 03:06:15
20,Ribeira Grande,38.5167,-28.7,scattered clouds,63.77,75,36,12.86,PT,2021-12-05 03:06:15
21,Rio Claro,-22.4114,-47.5614,broken clouds,63.81,76,72,5.17,BR,2021-12-05 03:06:16
22,Kaitangata,-46.2817,169.8464,light rain,50.36,95,100,12.28,NZ,2021-12-05 03:06:16
23,Narsaq,60.9167,-46.05,moderate rain,37.62,97,100,4.74,GL,2021-12-05 03:06:16
24,Sinnamary,5.3833,-52.95,overcast clouds,76.71,91,100,7.87,GF,2021-12-05 03:06:17
25,Leningradskiy,69.3833,178.4167,scattered clouds,-21.08,92,50,6.06,RU,2021-12-05 03:06:17
26,Whitianga,-36.8333,175.7,broken clouds,68.77,77,77,7.36,NZ,2021-12-05 03:06:17
27,Nakhon Phanom,17.3333,104.4167,few clouds,70.32,39,11,7.31,TH,2021-12-05 03:06:18
28,Ushuaia,-54.8,-68.3,broken clouds,46.06,61,75,19.57,AR,2021-12-05 03:06:18
29,Torbay,47.6666,-52.7314,clear sky,30.76,62,2,5.01,CA,2021-12-05 03:03:18
30,Yellowknife,62.456,-114.3525,broken clouds,-17.16,93,75,9.62,CA,2021-12-05 03:05:27
31,Kitob,39.0843,66.8332,scattered clouds,37.98,68,47,1.34,UZ,2021-12-05 03:06:19
32,Bilma,18.6853,12.9164,clear sky,60.26,26,2,13.06,NE,2021-12-05 03:06:19
33,Puro,12.4841,123.3827,overcast clouds,80.19,69,98,16.53,PH,2021-12-05 03:06:19
34,Hithadhoo,-0.6,73.0833,broken clouds,81.82,79,76,13.85,MV,2021-12-05 03:06:20
35,Bluff,-46.6,168.3333,overcast clouds,51.8,79,100,11.81,NZ,2021-12-05 03:06:20
36,Buala,-8.145,159.5921,moderate rain,83.57,78,100,3.89,SB,2021-12-05 03:06:20
37,Kargasok,59.0556,80.8572,snow,26.91,96,100,13.24,RU,2021-12-05 03:06:21
38,Iqaluit,63.7506,-68.5145,light snow,8.33,78,90,32.21,CA,2021-12-05 03:06:21
