City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,36.72,83,1,4.0,US,2021-12-05 02:38:00
1,Bengkulu,-3.8004,102.2655,77.85,84,100,6.82,ID,2021-12-05 02:42:24
2,San Carlos De Bariloche,-41.1456,-71.3082,55.15,58,0,3.44,AR,2021-12-05 02:34:19
3,Sari,36.5633,53.0601,46.58,47,0,4.23,IR,2021-12-05 02:42:24
4,Biscarrosse,44.3945,-1.1672,48.15,81,75,14.97,FR,2021-12-05 02:42:25
5,Osypenko,46.9136,36.8253,35.83,92,100,13.4,UA,2021-12-05 02:42:25
6,Nikolskoye,59.7035,30.7861,10.02,93,91,6.22,RU,2021-12-05 02:38:53
7,Bredasdorp,-34.5322,20.0403,60.28,95,100,17.83,ZA,2021-12-05 02:38:54
8,Rikitea,-23.1203,-134.9692,76.17,72,89,8.79,PF,2021-12-05 02:41:28
9,Khatanga,71.9667,102.5,-23.17,96,100,11.7,RU,2021-12-05 02:38:46
10,Kita,13.0349,-9.4895,71.67,21,48,4.38,ML,2021-12-05 02:42:26
11,Punta Arenas,-53.15,-70.9167,46.51,66,20,9.22,CL,2021-12-05 02:42:22
12,Mataura,-46.1927,168.8643,51.48,99,100,4.61,NZ,2021-12-05 02:38:31
13,Albany,42.6001,-73.9662,37.98,75,39,7.9,US,2021-12-05 02:38:47
14,Upernavik,72.7868,-56.1549,21.67,73,100,6.85,GL,2021-12-05 02:41:12
15,Svetlaya,46.5389,138.3297,22.82,61,27,6.78,RU,2021-12-05 02:42:27
16,Provideniya,64.3833,-173.3,26.73,97,100,19.01,RU,2021-12-05 02:31:47
17,Cherskiy,68.75,161.3,-38.83,100,74,2.26,RU,2021-12-05 02:34:15
18,Maldonado,-34.6667,-54.9167,65.59,96,86,5.1,UY,2021-12-05 02:41:14
19,Batemans Bay,-35.7167,150.1833,64.2,57,100,7.25,AU,2021-12-05 02:42:27
20,Ribeira Grande,38.5167,-28.7,63.77,75,36,12.86,PT,2021-12-05 02:42:28
21,Rio Claro,-22.4114,-47.5614,71.42,76,72,5.17,BR,2021-12-05 02:42:28
22,Kaitangata,-46.2817,169.8464,50.36,95,100,12.28,NZ,2021-12-05 02:42:28
23,Narsaq,60.9167,-46.05,37.62,97,100,4.74,GL,2021-12-05 02:33:49
24,Sinnamary,5.3833,-52.95,76.71,91,100,7.87,GF,2021-12-05 02:38:51
25,Leningradskiy,69.3833,178.4167,-21.08,92,50,6.06,RU,2021-12-05 02:38:50
26,Whitianga,-36.8333,175.7,68.77,77,77,7.36,NZ,2021-12-05 02:42:29
27,Nakhon Phanom,17.3333,104.4167,67.8,39,11,7.31,TH,2021-12-05 02:42:29
28,Ushuaia,-54.8,-68.3,47.86,57,75,28.77,AR,2021-12-05 02:35:06
29,Torbay,47.6666,-52.7314,30.67,57,1,24.16,CA,2021-12-05 02:40:06
30,Yellowknife,62.456,-114.3525,-26.88,68,1,8.05,CA,2021-12-05 02:35:21
31,Kitob,39.0843,66.8332,37.98,68,47,1.34,UZ,2021-12-05 02:42:30
32,Bilma,18.6853,12.9164,60.26,26,2,13.06,NE,2021-12-05 02:42:30
33,Puro,12.4841,123.3827,80.19,69,98,16.53,PH,2021-12-05 02:42:31
34,Hithadhoo,-0.6,73.0833,81.82,79,76,13.85,MV,2021-12-05 02:42:31
35,Bluff,-46.6,168.3333,51.8,79,100,11.81,NZ,2021-12-05 02:42:31
36,Buala,-8.145,159.5921,83.57,78,100,3.89,SB,2021-12-05 02:38:53
37,Kargasok,59.0556,80.8572,26.91,96,100,13.24,RU,2021-12-05 02:42:32
38,Iqaluit,63.7506,-68.5145,8.33,78,90,35.68,CA,2021-12-05 02:42:32
39,Tenancingo,19.1472,-98.1806,52.72,59,1,3.31,MX,2021-12-05 02:42:32
40,Port Macquarie,-31.4333,152.9167,71.56,77,100,12.06,AU,2021-12-05 02:41:38
41,Lynn Haven,30.2455,-85.6483,60.06,96,40,0.0,US,2021-12-05 02:42:33
42,Saint-Pierre,-21.3393,55.4781,76.68,69,0,5.75,RE,2021-12-05 02:37:45
43,Dudinka,69.4058,86.1778,-29.38,99,85,7.76,RU,2021-12-05 02:42:33
44,Broome,42.2506,-75.833,36.01,65,40,3.0,US,2021-12-05 02:42:34
45,Mountain Home,43.133,-115.6912,46.78,42,78,2.1,US,2021-12-05 02:42:34
